Year,Artist,Popularity,Track ID,Genre
1951,Les Baxter,30,0wkqOoJ0UJE45Fy0UgjrAc,exotica
1951,Dean Martin,33,3JrYp5PsWDV9rWmOmpqT6d,christmas
1951,Les Paul,30,5WKlrcfuJc9y74sfdrqPJG,
1951,Wynton Kelly,31,1uqApAOabz4EsmiTIHBD00,hard bop
1951,Joséphine Baker,33,52NUhRcTRhpRj4NCkLd6Ys,french jazz
1951,Dean Martin,33,69yWrxyv3AZc1S9usRdMAq,christmas
1951,Lee Wiley,32,343Bx11HfoYEZ9VhNnN5LZ,vocal jazz
1951,Les Baxter,27,28k6aoAzN4Xy22vJ9paTIy,exotica
1951,Frank Chacksfield Orchestra,38,2mpvgJYyhNVtFXmsI7F5j3,orchestra
1951,Ahmad Jamal,30,48fwdUy5Pck7VI15sBiTkd,jazz
1951,Ahmad Jamal,29,0WyEmh5EB5e7y3Ve4lzJLR,jazz
1951,Wynton Kelly,31,49dHKnAdEu93ne6K4CNsrE,hard bop
1951,Joséphine Baker,32,2oKKARRP1Nq8MgNUTDikuT,french jazz
1951,Thelonious Monk,30,00hoJAeDBiFd9SPBfw6rqI,jazz
1951,Panchito Riset,39,2u4SDWSunLKFlHOVtfKerg,bolero
1951,Ahmad Jamal,29,1n4un65pSS9JM6oGSuSTta,jazz
1951,Duke Ellington,28,06ZRWjFN3GQeMjCR8KCJ3a,jazz
1951,Flatt & Scruggs,24,09tSut5TyAFiAYSg38gjXE,bluegrass
1951,Louis Prima,28,0BdkXcZUv8xgin2J8yNLe5,swing music
1951,Hank Williams,26,6ZkewsweFXiXayixLoxrKG,honky tonk
1951,Helmut Zacharias,35,3edXyXsAbkepLiYAcbTA6p,orchestra
1952,Louis Armstrong,72,0zDVclPMSsjeyvbnqhWOmt,jazz
1952,Louis Armstrong,65,5y8zb3grlQonjdqd27K39T,jazz
1952,Hank Williams,59,0hveAq1VSNWo9MQYGMHvFF,honky tonk
1952,Louis Armstrong,60,5yYJNiQ3oapwwxu2A7Ch0A,jazz
1952,Hank Williams,51,1x4iqHqbgf9oHsQJ6FGnCy,honky tonk
1952,Gene Kelly,55,5U3MkUWTpzj37A33GboDtv,musicals
1952,Patti Page,50,4W0sbtVR0pqOo2d7qAHhGr,adult standards
